eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,verbatimIdentification,taxonomicStatus,taxonRank,lifeStage,vernacularName,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,dateIdentified,identifiedBy,Comments,basisOfRecord,occurrenceStatus
IYS2022-Shimada-4-16-Trawl,IYS2022-Shimada-4-16-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,2,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-23T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-17-Trawl,IYS2022-Shimada-4-17-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,0,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-24T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-18-Trawl,IYS2022-Shimada-4-18-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,1,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-25T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-19-Trawl,IYS2022-Shimada-4-19-Trawl-3,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,8,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-26T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-1-Trawl,IYS2022-Shimada-4-1-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,7,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-05T00:00:00Z,Jim Murphy,NA,HumanObservation,present
IYS2022-Shimada-4-20-Trawl,IYS2022-Shimada-4-20-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,1,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-26T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-21-Trawl,IYS2022-Shimada-4-21-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,0,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-27T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-22-Trawl,IYS2022-Shimada-4-22-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,1,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-27T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-23-Trawl,IYS2022-Shimada-4-23-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,49,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-28T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,10,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-03-01T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-3-Trawl,IYS2022-Shimada-4-3-Trawl-2,Aurelia,urn:lsid:marinespecies.org:taxname:135263,"Lamarck, 1816",Aurelia,accepted,Genus,NA,Aurelia sp.,8,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,2022-02-10T00:00:00Z,Jim Murphy,NA,HumanObservation,present
IYS2022-Shimada-4-14-Trawl,IYS2022-Shimada-4-14-Trawl-3,Beroe,urn:lsid:marinespecies.org:taxname:1434803,"Muller, 1776",Beroe,accepted,Genus,NA,Beroe sp.,2,Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe,NA,2022-02-22T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-15-Trawl,IYS2022-Shimada-4-15-Trawl-3,Beroe,urn:lsid:marinespecies.org:taxname:1434803,"Muller, 1776",Beroe,accepted,Genus,NA,Beroe sp.,1,Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe,NA,2022-02-23T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-26-Trawl,IYS2022-Shimada-4-26-Trawl-2,Beroe,urn:lsid:marinespecies.org:taxname:1434803,"Muller, 1776",Beroe,accepted,Genus,NA,Beroe sp.,12,Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe,NA,2022-03-02T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-27-Trawl,IYS2022-Shimada-4-27-Trawl-1,Beroe,urn:lsid:marinespecies.org:taxname:1434803,"Muller, 1776",Beroe,accepted,Genus,NA,Beroe sp.,8,Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe,NA,2022-03-04T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-15-Trawl,IYS2022-Shimada-4-15-Trawl-4,Gonatus berryi,urn:lsid:marinespecies.org:taxname:341855,"Naef, 1923",Gonatus berryi,accepted,Species,NA,Berry armhook squid,1,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,berryi,2022-02-23T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-18-Trawl,IYS2022-Shimada-4-18-Trawl-3,Gonatus berryi,urn:lsid:marinespecies.org:taxname:341855,"Naef, 1923",Gonatus berryi,accepted,Species,NA,Berry armhook squid,1,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,berryi,2022-02-25T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-3,Gonatus berryi,urn:lsid:marinespecies.org:taxname:341855,"Naef, 1923",Gonatus berryi,accepted,Species,NA,Berry armhook squid,0,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,berryi,2022-03-01T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-25-Trawl,IYS2022-Shimada-4-25-Trawl-2,Gonatus berryi,urn:lsid:marinespecies.org:taxname:341855,"Naef, 1923",Gonatus berryi,accepted,Species,NA,Berry armhook squid,0,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,berryi,2022-03-01T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-26-Trawl,IYS2022-Shimada-4-26-Trawl-3,Gonatus berryi,urn:lsid:marinespecies.org:taxname:341855,"Naef, 1923",Gonatus berryi,accepted,Species,NA,Berry armhook squid,277,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,berryi,2022-03-02T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-18-Trawl,IYS2022-Shimada-4-18-Trawl-4,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",Tarletonbeania crenularis,accepted,Species,NA,Blue lanternfish,1,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,crenularis,2022-02-25T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-19-Trawl,IYS2022-Shimada-4-19-Trawl-4,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",Tarletonbeania crenularis,accepted,Species,NA,Blue lanternfish,3,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,crenularis,2022-02-26T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-21-Trawl,IYS2022-Shimada-4-21-Trawl-3,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",Tarletonbeania crenularis,accepted,Species,NA,Blue lanternfish,357,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,crenularis,2022-02-27T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-4,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",Tarletonbeania crenularis,accepted,Species,NA,Blue lanternfish,109,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,crenularis,2022-03-01T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-26-Trawl,IYS2022-Shimada-4-26-Trawl-4,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",Tarletonbeania crenularis,accepted,Species,NA,Blue lanternfish,185,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,crenularis,2022-03-02T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-27-Trawl,IYS2022-Shimada-4-27-Trawl-2,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,"(Jordan & Gilbert, 1880)",Tarletonbeania crenularis,accepted,Species,NA,Blue lanternfish,238,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,crenularis,2022-03-04T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-24-Trawl,IYS2022-Shimada-4-24-Trawl-5,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,"Okada, 1927",Onychoteuthis borealijaponica,accepted,Species,NA,Boreal clubhook squid,5,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,borealijaponica,2022-03-01T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-25-Trawl,IYS2022-Shimada-4-25-Trawl-3,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,"Okada, 1927",Onychoteuthis borealijaponica,accepted,Species,NA,Boreal clubhook squid,3,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,borealijaponica,2022-03-01T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-26-Trawl,IYS2022-Shimada-4-26-Trawl-5,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,"Okada, 1927",Onychoteuthis borealijaponica,accepted,Species,NA,Boreal clubhook squid,10,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,borealijaponica,2022-03-02T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-28-Trawl,IYS2022-Shimada-4-28-Trawl-1,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,"Okada, 1927",Onychoteuthis borealijaponica,accepted,Species,NA,Boreal clubhook squid,1,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,borealijaponica,2022-03-04T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-11-Trawl,IYS2022-Shimada-4-11-Trawl-1,Gonatopsis borealis,urn:lsid:marinespecies.org:taxname:342326,"Sasaki, 1923",Gonatopsis borealis,accepted,Species,NA,Boreopacific armhook squid,1,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis,borealis,2022-02-16T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-13-Trawl,IYS2022-Shimada-4-13-Trawl-2,Gonatopsis borealis,urn:lsid:marinespecies.org:taxname:342326,"Sasaki, 1923",Gonatopsis borealis,accepted,Species,NA,Boreopacific armhook squid,105,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis,borealis,2022-02-22T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-15-Trawl,IYS2022-Shimada-4-15-Trawl-5,Gonatopsis borealis,urn:lsid:marinespecies.org:taxname:342326,"Sasaki, 1923",Gonatopsis borealis,accepted,Species,NA,Boreopacific armhook squid,5,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis,borealis,2022-02-23T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-21-Trawl,IYS2022-Shimada-4-21-Trawl-4,Gonatopsis borealis,urn:lsid:marinespecies.org:taxname:342326,"Sasaki, 1923",Gonatopsis borealis,accepted,Species,NA,Boreopacific armhook squid,6,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis,borealis,2022-02-27T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-26-Trawl,IYS2022-Shimada-4-26-Trawl-6,Gonatopsis borealis,urn:lsid:marinespecies.org:taxname:342326,"Sasaki, 1923",Gonatopsis borealis,accepted,Species,NA,Boreopacific armhook squid,16,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis,borealis,2022-03-02T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-27-Trawl,IYS2022-Shimada-4-27-Trawl-3,Gonatopsis borealis,urn:lsid:marinespecies.org:taxname:342326,"Sasaki, 1923",Gonatopsis borealis,accepted,Species,NA,Boreopacific armhook squid,21,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatopsis,borealis,2022-03-04T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-22-Trawl,IYS2022-Shimada-4-22-Trawl-3,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,"(Walbaum, 1792)",Oncorhynchus tshawytscha,accepted,Species,Immature,Chinook salmon,5,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,2022-02-27T00:00:00Z,Laurie Weitkamp,NA,HumanObservation,present
IYS2022-Shimada-4-26-Trawl,IYS2022-Shimada-4-26-Trawl-7,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,"(Walbaum, 1792)",Oncorhynchus tshawytscha,accepted,Species,Immature,Chinook salmon,1,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,2022-03-02T00:00:00Z,Laurie Weitkamp,NA,HumanObservation,present
IYS2022-Shimada-4-11-Trawl,IYS2022-Shimada-4-11-Trawl-2,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,"Brandt, 1835",Chrysaora melanaster,accepted,Species,NA,Chrysaora melanaster,4,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,melanaster,2022-02-16T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-12-Trawl,IYS2022-Shimada-4-12-Trawl-3,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,"Brandt, 1835",Chrysaora melanaster,accepted,Species,NA,Chrysaora melanaster,1,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,melanaster,2022-02-21T00:00:00Z,Alicia Billings,INCOMPLETE,HumanObservation,present
IYS2022-Shimada-4-14-Trawl,IYS2022-Shimada-4-14-Trawl-4,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,"Brandt, 1835",Chrysaora melanaster,accepted,Species,NA,Chrysaora melanaster,1,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,melanaster,2022-02-22T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-16-Trawl,IYS2022-Shimada-4-16-Trawl-3,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,"Brandt, 1835",Chrysaora melanaster,accepted,Species,NA,Chrysaora melanaster,1,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,melanaster,2022-02-23T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-17-Trawl,IYS2022-Shimada-4-17-Trawl-3,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,"Brandt, 1835",Chrysaora melanaster,accepted,Species,NA,Chrysaora melanaster,4,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,melanaster,2022-02-24T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-18-Trawl,IYS2022-Shimada-4-18-Trawl-5,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,"Brandt, 1835",Chrysaora melanaster,accepted,Species,NA,Chrysaora melanaster,15,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,melanaster,2022-02-25T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-19-Trawl,IYS2022-Shimada-4-19-Trawl-5,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,"Brandt, 1835",Chrysaora melanaster,accepted,Species,NA,Chrysaora melanaster,173,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,melanaster,2022-02-26T00:00:00Z,Alicia Billings,ESTIMATED,HumanObservation,present
IYS2022-Shimada-4-20-Trawl,IYS2022-Shimada-4-20-Trawl-3,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,"Brandt, 1835",Chrysaora melanaster,accepted,Species,NA,Chrysaora melanaster,2,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,melanaster,2022-02-26T00:00:00Z,Alicia Billings,NA,HumanObservation,present
IYS2022-Shimada-4-23-Trawl,IYS2022-Shimada-4-23-Trawl-3,Chrysaora melanaster,urn:lsid:marinespecies.org:taxname:287209,"Brandt, 1835",Chrysaora melanaster,accepted,Species,NA,Chrysaora melanaster,1,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,melanaster,2022-02-28T00:00:00Z,Alicia Billings,NA,HumanObservation,present
